[0]	validation_0-error:0.226602	validation_1-error:0.245793	validation_0-f1:0.722377	validation_1-f1:0.701023
[1]	validation_0-error:0.196784	validation_1-error:0.208233	validation_0-f1:0.752602	validation_1-f1:0.741707
[2]	validation_0-error:0.187882	validation_1-error:0.201923	validation_0-f1:0.771547	validation_1-f1:0.758621
[3]	validation_0-error:0.188761	validation_1-error:0.201623	validation_0-f1:0.770723	validation_1-f1:0.758372
[4]	validation_0-error:0.18638	validation_1-error:0.199219	validation_0-f1:0.774827	validation_1-f1:0.761768
[5]	validation_0-error:0.184109	validation_1-error:0.199219	validation_0-f1:0.776025	validation_1-f1:0.761768
[6]	validation_0-error:0.181948	validation_1-error:0.198618	validation_0-f1:0.781103	validation_1-f1:0.764685
[7]	validation_0-error:0.182204	validation_1-error:0.197115	validation_0-f1:0.780707	validation_1-f1:0.765882
[8]	validation_0-error:0.180593	validation_1-error:0.197416	validation_0-f1:0.782551	validation_1-f1:0.765441
[9]	validation_0-error:0.180739	validation_1-error:0.196514	validation_0-f1:0.782144	validation_1-f1:0.766595
[10]	validation_0-error:0.179677	validation_1-error:0.195312	validation_0-f1:0.782666	validation_1-f1:0.767525
[11]	validation_0-error:0.178688	validation_1-error:0.195312	validation_0-f1:0.783508	validation_1-f1:0.766691
[12]	validation_0-error:0.177589	validation_1-error:0.19351	validation_0-f1:0.785392	validation_1-f1:0.769506
[13]	validation_0-error:0.177845	validation_1-error:0.195312	validation_0-f1:0.785471	validation_1-f1:0.767691
[14]	validation_0-error:0.17649	validation_1-error:0.190805	validation_0-f1:0.786908	validation_1-f1:0.773457
[15]	validation_0-error:0.177626	validation_1-error:0.191106	validation_0-f1:0.78446	validation_1-f1:0.770893
[16]	validation_0-error:0.177992	validation_1-error:0.191106	validation_0-f1:0.784188	validation_1-f1:0.771387
[17]	validation_0-error:0.17682	validation_1-error:0.188401	validation_0-f1:0.786104	validation_1-f1:0.775027
[18]	validation_0-error:0.175941	validation_1-error:0.189603	validation_0-f1:0.787035	validation_1-f1:0.773429
[19]	validation_0-error:0.175171	validation_1-error:0.189303	validation_0-f1:0.787542	validation_1-f1:0.773707
[20]	validation_0-error:0.175428	validation_1-error:0.190505	validation_0-f1:0.787033	validation_1-f1:0.771942
[21]	validation_0-error:0.174842	validation_1-error:0.192007	validation_0-f1:0.788102	validation_1-f1:0.771704
[22]	validation_0-error:0.175208	validation_1-error:0.192608	validation_0-f1:0.787261	validation_1-f1:0.770498
[23]	validation_0-error:0.174146	validation_1-error:0.1878	validation_0-f1:0.788824	validation_1-f1:0.775905
[24]	validation_0-error:0.173743	validation_1-error:0.189002	validation_0-f1:0.788909	validation_1-f1:0.774471
[25]	validation_0-error:0.173926	validation_1-error:0.189002	validation_0-f1:0.788828	validation_1-f1:0.774633
