[0]	validation_0-error:0.231273	validation_1-error:0.24106	validation_0-f1:0.664274	validation_1-f1:0.663221
[1]	validation_0-error:0.225091	validation_1-error:0.23058	validation_0-f1:0.677436	validation_1-f1:0.690909
[2]	validation_0-error:0.228436	validation_1-error:0.229346	validation_0-f1:0.654797	validation_1-f1:0.678201
[3]	validation_0-error:0.2264	validation_1-error:0.232429	validation_0-f1:0.663423	validation_1-f1:0.682393
[4]	validation_0-error:0.229673	validation_1-error:0.229346	validation_0-f1:0.644529	validation_1-f1:0.666068
[5]	validation_0-error:0.229455	validation_1-error:0.228113	validation_0-f1:0.645545	validation_1-f1:0.669643
[6]	validation_0-error:0.229018	validation_1-error:0.228113	validation_0-f1:0.647013	validation_1-f1:0.670819
[7]	validation_0-error:0.229673	validation_1-error:0.22873	validation_0-f1:0.649967	validation_1-f1:0.669635
[8]	validation_0-error:0.230327	validation_1-error:0.228113	validation_0-f1:0.647524	validation_1-f1:0.670819
[9]	validation_0-error:0.230255	validation_1-error:0.228113	validation_0-f1:0.6483	validation_1-f1:0.670819
[10]	validation_0-error:0.230255	validation_1-error:0.22688	validation_0-f1:0.647909	validation_1-f1:0.672014
[11]	validation_0-error:0.227491	validation_1-error:0.225647	validation_0-f1:0.658739	validation_1-f1:0.675532
[12]	validation_0-error:0.227709	validation_1-error:0.226264	validation_0-f1:0.65815	validation_1-f1:0.674357
[13]	validation_0-error:0.2272	validation_1-error:0.225031	validation_0-f1:0.659547	validation_1-f1:0.676705
[14]	validation_0-error:0.228364	validation_1-error:0.225031	validation_0-f1:0.656305	validation_1-f1:0.676131
[15]	validation_0-error:0.227491	validation_1-error:0.225031	validation_0-f1:0.658664	validation_1-f1:0.676131
[16]	validation_0-error:0.225745	validation_1-error:0.226264	validation_0-f1:0.664287	validation_1-f1:0.676652
[17]	validation_0-error:0.227273	validation_1-error:0.225031	validation_0-f1:0.65888	validation_1-f1:0.676131
[18]	validation_0-error:0.227855	validation_1-error:0.22688	validation_0-f1:0.6589	validation_1-f1:0.674336
[19]	validation_0-error:0.227564	validation_1-error:0.22688	validation_0-f1:0.659632	validation_1-f1:0.674336
[20]	validation_0-error:0.227127	validation_1-error:0.226264	validation_0-f1:0.660063	validation_1-f1:0.674934
[21]	validation_0-error:0.224727	validation_1-error:0.229346	validation_0-f1:0.669942	validation_1-f1:0.679862
[22]	validation_0-error:0.224291	validation_1-error:0.229963	validation_0-f1:0.672124	validation_1-f1:0.680924
[23]	validation_0-error:0.223782	validation_1-error:0.22873	validation_0-f1:0.672764	validation_1-f1:0.680997
[24]	validation_0-error:0.223927	validation_1-error:0.229963	validation_0-f1:0.672899	validation_1-f1:0.680924
[25]	validation_0-error:0.224145	validation_1-error:0.232429	validation_0-f1:0.675442	validation_1-f1:0.686617
[26]	validation_0-error:0.223782	validation_1-error:0.231813	validation_0-f1:0.680245	validation_1-f1:0.690789
[27]	validation_0-error:0.223709	validation_1-error:0.231813	validation_0-f1:0.680316	validation_1-f1:0.690789
[28]	validation_0-error:0.222982	validation_1-error:0.23058	validation_0-f1:0.680558	validation_1-f1:0.691928
[29]	validation_0-error:0.222982	validation_1-error:0.23058	validation_0-f1:0.680558	validation_1-f1:0.691928
[30]	validation_0-error:0.222836	validation_1-error:0.23058	validation_0-f1:0.6807	validation_1-f1:0.691928
[31]	validation_0-error:0.222909	validation_1-error:0.23058	validation_0-f1:0.68043	validation_1-f1:0.691928
[32]	validation_0-error:0.222764	validation_1-error:0.23058	validation_0-f1:0.680505	validation_1-f1:0.691928
[33]	validation_0-error:0.222691	validation_1-error:0.231813	validation_0-f1:0.680376	validation_1-f1:0.689769
[34]	validation_0-error:0.223345	validation_1-error:0.233662	validation_0-f1:0.679737	validation_1-f1:0.687036
[35]	validation_0-error:0.223273	validation_1-error:0.232429	validation_0-f1:0.679808	validation_1-f1:0.6892
[36]	validation_0-error:0.222909	validation_1-error:0.233046	validation_0-f1:0.67936	validation_1-f1:0.687603
[37]	validation_0-error:0.222836	validation_1-error:0.233046	validation_0-f1:0.679431	validation_1-f1:0.687603
[38]	validation_0-error:0.222836	validation_1-error:0.233046	validation_0-f1:0.679431	validation_1-f1:0.687603
[39]	validation_0-error:0.222545	validation_1-error:0.233046	validation_0-f1:0.679782	validation_1-f1:0.687603
[40]	validation_0-error:0.222545	validation_1-error:0.233046	validation_0-f1:0.679782	validation_1-f1:0.687603
[41]	validation_0-error:0.222764	validation_1-error:0.233662	validation_0-f1:0.679569	validation_1-f1:0.687036
[42]	validation_0-error:0.222909	validation_1-error:0.234279	validation_0-f1:0.679226	validation_1-f1:0.68595
[43]	validation_0-error:0.2224	validation_1-error:0.233662	validation_0-f1:0.679656	validation_1-f1:0.686518
[44]	validation_0-error:0.222836	validation_1-error:0.234895	validation_0-f1:0.679632	validation_1-f1:0.685384
